Id,firstName,lastName,salary,managerId
1,CEO,One,200000,
2,Mgr2,L26,147196,1
3,Mgr3,L251,79256,1
4,Mgr4,L755,63434,1
5,Mgr5,L605,105302,1
6,Mgr6,L31,62280,1
7,Mgr7,L239,116237,1
8,Mgr8,L575,76062,1
9,Mgr9,L226,108878,1
10,Mgr10,L829,50851,1
11,Mgr11,L715,105392,1
12,Mgr12,L285,70379,6
13,Mgr13,L981,94118,4
14,Mgr14,L95,99797,2
15,Mgr15,L368,95082,2
16,Mgr16,L271,55695,10
17,Mgr17,L550,66361,8
18,Mgr18,L81,122357,7
19,Mgr19,L850,132397,5
20,Mgr20,L907,97400,10
21,Mgr21,L197,142349,10
22,Mgr22,L47,136673,2
23,Mgr23,L792,87930,4
24,Mgr24,L876,80512,2
25,Mgr25,L390,86434,2
26,Mgr26,L651,97819,8
27,Mgr27,L380,96566,6
28,Mgr28,L687,84993,7
29,Mgr29,L960,139593,23
30,Mgr30,L74,129840,21
31,Mgr31,L176,120010,21
32,Mgr32,L251,71417,24
33,Mgr33,L389,85382,15
34,Mgr34,L705,123000,21
35,Mgr35,L702,92504,8
36,Mgr36,L795,57331,25
37,Mgr37,L842,54207,8
38,Mgr38,L324,102581,26
39,Mgr39,L68,77653,9
40,Mgr40,L898,144098,19
41,Mgr41,L218,135909,11
42,Mgr42,L406,134259,16
43,Mgr43,L147,84718,15
44,Mgr44,L253,147647,5
45,Mgr45,L552,84438,18
46,Mgr46,L599,106155,24
47,Mgr47,L409,97447,38
48,Mgr48,L142,116784,15
49,Mgr49,L94,149061,32
50,Mgr50,L882,64371,4
51,Mgr51,L643,70969,10
52,Mgr52,L433,128172,44
53,Mgr53,L395,100019,5
54,Mgr54,L480,119352,39
55,Mgr55,L995,122512,17
56,Mgr56,L697,144466,1
57,Mgr57,L699,120381,8
58,Mgr58,L788,134012,18
59,Mgr59,L115,88469,22
60,Mgr60,L162,109470,28
61,Mgr61,L977,144646,1
62,Mgr62,L996,115612,17
63,Mgr63,L520,63947,12
64,Mgr64,L306,133748,41
65,Mgr65,L624,76071,33
66,Mgr66,L383,149943,10
67,Mgr67,L553,119514,11
68,Mgr68,L614,92487,1
69,Mgr69,L20,64662,32
70,Mgr70,L900,90306,24
71,Mgr71,L60,81571,16
72,Mgr72,L88,145932,11
73,Mgr73,L836,59071,63
74,Mgr74,L785,66483,69
75,Mgr75,L676,112296,17
76,Mgr76,L170,84741,71
77,Mgr77,L894,129507,68
78,Mgr78,L988,77760,55
79,Mgr79,L774,145673,70
80,Mgr80,L731,90857,26
81,Mgr81,L688,135180,52
82,Mgr82,L449,117839,48
83,Mgr83,L124,82493,58
84,Mgr84,L66,94313,29
85,Mgr85,L603,122603,3
86,Mgr86,L603,78864,30
87,Mgr87,L73,142778,1
88,Mgr88,L235,58834,8
89,Mgr89,L881,93309,5
90,Mgr90,L527,81195,10
91,Mgr91,L686,113624,36
92,Mgr92,L553,67342,28
93,Mgr93,L249,111993,61
94,Mgr94,L195,62363,53
95,Mgr95,L675,106498,13
96,Mgr96,L434,103883,46
97,Mgr97,L885,145561,60
98,Mgr98,L690,135649,7
99,Mgr99,L63,102772,13
100,Mgr100,L820,64322,44
101,Mgr101,L197,74931,32
102,Emp102,L460,48373,69
103,Emp103,L188,66509,55
104,Emp104,L256,39880,60
105,Emp105,L828,42833,57
106,Emp106,L668,31934,7
107,Emp107,L949,60982,12
108,Emp108,L417,93653,22
109,Emp109,L219,82565,62
110,Emp110,L169,79672,8
111,Emp111,L400,64760,1
112,Emp112,L804,89638,101
113,Emp113,L434,93788,37
114,Emp114,L195,68890,20
115,Emp115,L992,37665,28
116,Emp116,L754,37989,75
117,Emp117,L322,37492,96
118,Emp118,L599,92493,7
